Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate1,O-19,4.75e-07,c2,C-1,C-2,K14
Plate1,O-19,7.125e-07,c2,C-1,C-2,K15
Plate1,O-19,1.425e-06,c2,C-1,C-2,K16
Plate1,O-19,2.613e-06,c2,C-1,C-2,K17
Plate1,O-19,4.513e-06,c2,C-1,C-2,K18
Plate1,O-19,8.075e-06,c2,C-1,C-2,K19
Plate1,O-19,1.473e-05,c2,C-1,C-2,K20
Plate1,O-19,2.684e-05,c2,C-1,C-2,K21
Plate1,O-19,4.869e-05,c2,C-1,C-2,K22
Plate1,C-1,NA,c2,C-1,C-2,K23
Plate1,C-1,NA,c2,C-1,C-2,K24
Plate1,C-1,NA,c2,C-1,C-2,L01
Plate1,O-77,2.375e-07,c2,C-1,C-2,L02
Plate1,O-77,4.75e-07,c2,C-1,C-2,L03
Plate1,O-77,7.125e-07,c2,C-1,C-2,L04
Plate1,O-77,1.425e-06,c2,C-1,C-2,L05
Plate1,O-77,2.613e-06,c2,C-1,C-2,L06
Plate1,O-77,4.513e-06,c2,C-1,C-2,L07
Plate1,O-77,8.075e-06,c2,C-1,C-2,L08
Plate1,O-77,1.473e-05,c2,C-1,C-2,L09
Plate1,O-77,2.684e-05,c2,C-1,C-2,L10
Plate1,O-77,4.869e-05,c2,C-1,C-2,L11
Plate1,C-1,NA,c2,C-1,C-2,L12
Plate1,O-77,2.375e-07,c2,C-1,C-2,L13
Plate1,O-77,4.75e-07,c2,C-1,C-2,L14
Plate1,O-77,7.125e-07,c2,C-1,C-2,L15
Plate1,O-77,1.425e-06,c2,C-1,C-2,L16
Plate1,O-77,2.613e-06,c2,C-1,C-2,L17
Plate1,O-77,4.513e-06,c2,C-1,C-2,L18
Plate1,O-77,8.075e-06,c2,C-1,C-2,L19
Plate1,O-77,1.473e-05,c2,C-1,C-2,L20
Plate1,O-77,2.684e-05,c2,C-1,C-2,L21
Plate1,O-77,4.869e-05,c2,C-1,C-2,L22
Plate1,C-1,NA,c2,C-1,C-2,L23
Plate1,C-1,NA,c2,C-1,C-2,L24
Plate1,C-1,NA,c2,C-1,C-2,M01
Plate1,C-2,9.831e-06,c2,C-1,C-2,M02
Plate1,C-2,5.797e-06,c2,C-1,C-2,M03
Plate1,C-2,3.458e-06,c2,C-1,C-2,M04
Plate1,C-2,2.068e-06,c2,C-1,C-2,M05
Plate1,C-2,1.22e-06,c2,C-1,C-2,M06
Plate1,C-2,7.458e-07,c2,C-1,C-2,M07
Plate1,C-2,4.407e-07,c2,C-1,C-2,M08
Plate1,C-2,2.712e-07,c2,C-1,C-2,M09
Plate1,C-2,1.695e-07,c2,C-1,C-2,M10
Plate1,C-2,1.017e-07,c2,C-1,C-2,M11
Plate1,C-1,NA,c2,C-1,C-2,M12
Plate1,C-2,9.831e-06,c2,C-1,C-2,M13
Plate1,C-2,5.797e-06,c2,C-1,C-2,M14
Plate1,C-2,3.458e-06,c2,C-1,C-2,M15
Plate1,C-2,2.068e-06,c2,C-1,C-2,M16
Plate1,C-2,1.22e-06,c2,C-1,C-2,M17
Plate1,C-2,7.458e-07,c2,C-1,C-2,M18
Plate1,C-2,4.407e-07,c2,C-1,C-2,M19
Plate1,C-2,2.712e-07,c2,C-1,C-2,M20
Plate1,C-2,1.695e-07,c2,C-1,C-2,M21
Plate1,C-2,1.017e-07,c2,C-1,C-2,M22
Plate1,C-1,NA,c2,C-1,C-2,M23
Plate1,C-1,NA,c2,C-1,C-2,M24
Plate1,C-1,NA,c2,C-1,C-2,N01
Plate1,C-3,4.869e-05,c2,C-1,C-2,N02
Plate1,C-3,2.684e-05,c2,C-1,C-2,N03
Plate1,C-3,1.473e-05,c2,C-1,C-2,N04
Plate1,C-3,8.075e-06,c2,C-1,C-2,N05
Plate1,C-3,4.513e-06,c2,C-1,C-2,N06
Plate1,C-3,2.613e-06,c2,C-1,C-2,N07
Plate1,C-3,1.425e-06,c2,C-1,C-2,N08
Plate1,C-3,7.125e-07,c2,C-1,C-2,N09
Plate1,C-3,4.75e-07,c2,C-1,C-2,N10
Plate1,C-3,2.375e-07,c2,C-1,C-2,N11
Plate1,C-1,NA,c2,C-1,C-2,N12
Plate1,C-3,4.869e-05,c2,C-1,C-2,N13
Plate1,C-3,2.684e-05,c2,C-1,C-2,N14
Plate1,C-3,1.473e-05,c2,C-1,C-2,N15
Plate1,C-3,8.075e-06,c2,C-1,C-2,N16
Plate1,C-3,4.513e-06,c2,C-1,C-2,N17
Plate1,C-3,2.613e-06,c2,C-1,C-2,N18
Plate1,C-3,1.425e-06,c2,C-1,C-2,N19
Plate1,C-3,7.125e-07,c2,C-1,C-2,N20
Plate1,C-3,4.75e-07,c2,C-1,C-2,N21
Plate1,C-3,2.375e-07,c2,C-1,C-2,N22
Plate1,C-1,NA,c2,C-1,C-2,N23
Plate1,C-1,NA,c2,C-1,C-2,N24
Plate1,C-1,NA,c2,C-1,C-2,O01
Plate1,C-4,4.873e-05,c2,C-1,C-2,O02
Plate1,C-4,2.425e-05,c2,C-1,C-2,O03
Plate1,C-4,1.201e-05,c2,C-1,C-2,O04
Plate1,C-4,5.893e-06,c2,C-1,C-2,O05
Plate1,C-4,2.946e-06,c2,C-1,C-2,O06
Plate1,C-4,1.587e-06,c2,C-1,C-2,O07
Plate1,C-4,6.8e-07,c2,C-1,C-2,O08
Plate1,C-4,4.533e-07,c2,C-1,C-2,O09
Plate1,C-4,2.267e-07,c2,C-1,C-2,O10
Plate1,C-4,1.137e-07,c2,C-1,C-2,O11
Plate1,C-1,NA,c2,C-1,C-2,O12
Plate1,C-4,4.873e-05,c2,C-1,C-2,O13
Plate1,C-4,2.425e-05,c2,C-1,C-2,O14
Plate1,C-4,1.201e-05,c2,C-1,C-2,O15
Plate1,C-4,5.893e-06,c2,C-1,C-2,O16
Plate1,C-4,2.946e-06,c2,C-1,C-2,O17
Plate1,C-4,1.587e-06,c2,C-1,C-2,O18
Plate1,C-4,6.8e-07,c2,C-1,C-2,O19
Plate1,C-4,4.533e-07,c2,C-1,C-2,O20
Plate1,C-4,2.267e-07,c2,C-1,C-2,O21
Plate1,C-4,1.137e-07,c2,C-1,C-2,O22
Plate1,C-1,NA,c2,C-1,C-2,O23
Plate1,C-1,NA,c2,C-1,C-2,O24
Plate1,C-1,NA,c2,C-1,C-2,P01
Plate1,C-1,NA,c2,C-1,C-2,P02
Plate1,C-1,NA,c2,C-1,C-2,P03
Plate1,C-1,NA,c2,C-1,C-2,P04
Plate1,C-1,NA,c2,C-1,C-2,P05
Plate1,C-1,NA,c2,C-1,C-2,P06
Plate1,C-1,NA,c2,C-1,C-2,P07
Plate1,C-1,NA,c2,C-1,C-2,P08
Plate1,C-1,NA,c2,C-1,C-2,P09
Plate1,C-1,NA,c2,C-1,C-2,P10
Plate1,C-1,NA,c2,C-1,C-2,P11
Plate1,C-1,NA,c2,C-1,C-2,P12
Plate1,C-1,NA,c2,C-1,C-2,P13
Plate1,C-1,NA,c2,C-1,C-2,P14
Plate1,C-1,NA,c2,C-1,C-2,P15
Plate1,C-1,NA,c2,C-1,C-2,P16
Plate1,C-1,NA,c2,C-1,C-2,P17
Plate1,C-1,NA,c2,C-1,C-2,P18
Plate1,C-1,NA,c2,C-1,C-2,P19
Plate1,C-1,NA,c2,C-1,C-2,P20
Plate1,C-1,NA,c2,C-1,C-2,P21
Plate1,C-1,NA,c2,C-1,C-2,P22
Plate1,C-1,NA,c2,C-1,C-2,P23
Plate1,C-1,NA,c2,C-1,C-2,P24
Plate2,C-1,NA,c2,C-1,C-2,A01
Plate2,C-1,NA,c2,C-1,C-2,A02
Plate2,C-1,NA,c2,C-1,C-2,A03
Plate2,C-1,NA,c2,C-1,C-2,A04
Plate2,C-1,NA,c2,C-1,C-2,A05
Plate2,C-1,NA,c2,C-1,C-2,A06
Plate2,C-1,NA,c2,C-1,C-2,A07
Plate2,C-1,NA,c2,C-1,C-2,A08
Plate2,C-1,NA,c2,C-1,C-2,A09
Plate2,C-1,NA,c2,C-1,C-2,A10
Plate2,C-1,NA,c2,C-1,C-2,A11
Plate2,C-1,NA,c2,C-1,C-2,A12
Plate2,C-1,NA,c2,C-1,C-2,A13
Plate2,C-1,NA,c2,C-1,C-2,A14
Plate2,C-1,NA,c2,C-1,C-2,A15
Plate2,C-1,NA,c2,C-1,C-2,A16
Plate2,C-1,NA,c2,C-1,C-2,A17
Plate2,C-1,NA,c2,C-1,C-2,A18
Plate2,C-1,NA,c2,C-1,C-2,A19
Plate2,C-1,NA,c2,C-1,C-2,A20
Plate2,C-1,NA,c2,C-1,C-2,A21
Plate2,C-1,NA,c2,C-1,C-2,A22
Plate2,C-1,NA,c2,C-1,C-2,A23
Plate2,C-1,NA,c2,C-1,C-2,A24
Plate2,C-1,NA,c2,C-1,C-2,B01
Plate2,O-50,2.375e-07,c2,C-1,C-2,B02
Plate2,O-50,4.75e-07,c2,C-1,C-2,B03
Plate2,O-50,7.125e-07,c2,C-1,C-2,B04
Plate2,O-50,1.425e-06,c2,C-1,C-2,B05
Plate2,O-50,2.613e-06,c2,C-1,C-2,B06
Plate2,O-50,4.513e-06,c2,C-1,C-2,B07
Plate2,O-50,8.075e-06,c2,C-1,C-2,B08
Plate2,O-50,1.473e-05,c2,C-1,C-2,B09
Plate2,O-50,2.684e-05,c2,C-1,C-2,B10
Plate2,O-50,4.869e-05,c2,C-1,C-2,B11
Plate2,C-1,NA,c2,C-1,C-2,B12
Plate2,O-50,2.375e-07,c2,C-1,C-2,B13
Plate2,O-50,4.75e-07,c2,C-1,C-2,B14
Plate2,O-50,7.125e-07,c2,C-1,C-2,B15
Plate2,O-50,1.425e-06,c2,C-1,C-2,B16
Plate2,O-50,2.613e-06,c2,C-1,C-2,B17
Plate2,O-50,4.513e-06,c2,C-1,C-2,B18
Plate2,O-50,8.075e-06,c2,C-1,C-2,B19
Plate2,O-50,1.473e-05,c2,C-1,C-2,B20
Plate2,O-50,2.684e-05,c2,C-1,C-2,B21
Plate2,O-50,4.869e-05,c2,C-1,C-2,B22
Plate2,C-1,NA,c2,C-1,C-2,B23
Plate2,C-1,NA,c2,C-1,C-2,B24
Plate2,C-1,NA,c2,C-1,C-2,C01
Plate2,O-66,2.375e-07,c2,C-1,C-2,C02
Plate2,O-66,4.75e-07,c2,C-1,C-2,C03
Plate2,O-66,7.125e-07,c2,C-1,C-2,C04
Plate2,O-66,1.425e-06,c2,C-1,C-2,C05
Plate2,O-66,2.613e-06,c2,C-1,C-2,C06
Plate2,O-66,4.513e-06,c2,C-1,C-2,C07
Plate2,O-66,8.075e-06,c2,C-1,C-2,C08
Plate2,O-66,1.473e-05,c2,C-1,C-2,C09
Plate2,O-66,2.684e-05,c2,C-1,C-2,C10
Plate2,O-66,4.869e-05,c2,C-1,C-2,C11
Plate2,C-1,NA,c2,C-1,C-2,C12
Plate2,O-66,2.375e-07,c2,C-1,C-2,C13
Plate2,O-66,4.75e-07,c2,C-1,C-2,C14
Plate2,O-66,7.125e-07,c2,C-1,C-2,C15
Plate2,O-66,1.425e-06,c2,C-1,C-2,C16
Plate2,O-66,2.613e-06,c2,C-1,C-2,C17
Plate2,O-66,4.513e-06,c2,C-1,C-2,C18
Plate2,O-66,8.075e-06,c2,C-1,C-2,C19
Plate2,O-66,1.473e-05,c2,C-1,C-2,C20
Plate2,O-66,2.684e-05,c2,C-1,C-2,C21
Plate2,O-66,4.869e-05,c2,C-1,C-2,C22
Plate2,C-1,NA,c2,C-1,C-2,C23
Plate2,C-1,NA,c2,C-1,C-2,C24
Plate2,C-1,NA,c2,C-1,C-2,D01
Plate2,O-41,2.375e-07,c2,C-1,C-2,D02
Plate2,O-41,4.75e-07,c2,C-1,C-2,D03
Plate2,O-41,7.125e-07,c2,C-1,C-2,D04
Plate2,O-41,1.425e-06,c2,C-1,C-2,D05
Plate2,O-41,2.613e-06,c2,C-1,C-2,D06
Plate2,O-41,4.513e-06,c2,C-1,C-2,D07
Plate2,O-41,8.075e-06,c2,C-1,C-2,D08
Plate2,O-41,1.473e-05,c2,C-1,C-2,D09
Plate2,O-41,2.684e-05,c2,C-1,C-2,D10
Plate2,O-41,4.869e-05,c2,C-1,C-2,D11
Plate2,C-1,NA,c2,C-1,C-2,D12
Plate2,O-41,2.375e-07,c2,C-1,C-2,D13
Plate2,O-41,4.75e-07,c2,C-1,C-2,D14
Plate2,O-41,7.125e-07,c2,C-1,C-2,D15
Plate2,O-41,1.425e-06,c2,C-1,C-2,D16
Plate2,O-41,2.613e-06,c2,C-1,C-2,D17
Plate2,O-41,4.513e-06,c2,C-1,C-2,D18
Plate2,O-41,8.075e-06,c2,C-1,C-2,D19
Plate2,O-41,1.473e-05,c2,C-1,C-2,D20
Plate2,O-41,2.684e-05,c2,C-1,C-2,D21
Plate2,O-41,4.869e-05,c2,C-1,C-2,D22
Plate2,C-1,NA,c2,C-1,C-2,D23
Plate2,C-1,NA,c2,C-1,C-2,D24
