plate,channel,row,col,value
Plate 1,Label2,6,4,535
Plate 1,Label2,6,5,485
Plate 1,Label2,6,6,550
Plate 1,Label2,6,7,570
Plate 1,Label2,6,8,690
Plate 1,Label2,6,9,465
Plate 1,Label2,6,10,570
Plate 1,Label2,6,11,475
Plate 1,Label2,6,12,410
Plate 1,Label2,6,13,505
Plate 1,Label2,6,14,515
Plate 1,Label2,6,15,645
Plate 1,Label2,6,16,590
Plate 1,Label2,6,17,695
Plate 1,Label2,6,18,590
Plate 1,Label2,6,19,625
Plate 1,Label2,6,20,420
Plate 1,Label2,6,21,535
Plate 1,Label2,6,22,665
Plate 1,Label2,6,23,510
Plate 1,Label2,6,24,485
Plate 1,Label2,7,1,570
Plate 1,Label2,7,2,600
Plate 1,Label2,7,3,500
Plate 1,Label2,7,4,600
Plate 1,Label2,7,5,660
Plate 1,Label2,7,6,570
Plate 1,Label2,7,7,615
Plate 1,Label2,7,8,650
Plate 1,Label2,7,9,535
Plate 1,Label2,7,10,665
Plate 1,Label2,7,11,915
Plate 1,Label2,7,12,1370
Plate 1,Label2,7,13,450
Plate 1,Label2,7,14,560
Plate 1,Label2,7,15,490
Plate 1,Label2,7,16,520
Plate 1,Label2,7,17,480
Plate 1,Label2,7,18,725
Plate 1,Label2,7,19,585
Plate 1,Label2,7,20,730
Plate 1,Label2,7,21,615
Plate 1,Label2,7,22,695
Plate 1,Label2,7,23,415
Plate 1,Label2,7,24,460
Plate 1,Label2,8,1,310
Plate 1,Label2,8,2,545
Plate 1,Label2,8,3,640
Plate 1,Label2,8,4,445
Plate 1,Label2,8,5,620
Plate 1,Label2,8,6,615
Plate 1,Label2,8,7,475
Plate 1,Label2,8,8,520
Plate 1,Label2,8,9,570
Plate 1,Label2,8,10,670
Plate 1,Label2,8,11,725
Plate 1,Label2,8,12,390
Plate 1,Label2,8,13,445
Plate 1,Label2,8,14,470
Plate 1,Label2,8,15,440
Plate 1,Label2,8,16,495
Plate 1,Label2,8,17,510
Plate 1,Label2,8,18,615
Plate 1,Label2,8,19,630
Plate 1,Label2,8,20,525
Plate 1,Label2,8,21,530
Plate 1,Label2,8,22,720
Plate 1,Label2,8,23,410
Plate 1,Label2,8,24,400
Plate 1,Label2,9,1,520
Plate 1,Label2,9,2,670
Plate 1,Label2,9,3,610
Plate 1,Label2,9,4,485
Plate 1,Label2,9,5,425
Plate 1,Label2,9,6,580
Plate 1,Label2,9,7,595
Plate 1,Label2,9,8,705
Plate 1,Label2,9,9,685
Plate 1,Label2,9,10,715
Plate 1,Label2,9,11,745
Plate 1,Label2,9,12,500
Plate 1,Label2,9,13,570
Plate 1,Label2,9,14,415
Plate 1,Label2,9,15,420
Plate 1,Label2,9,16,515
Plate 1,Label2,9,17,585
Plate 1,Label2,9,18,550
Plate 1,Label2,9,19,455
Plate 1,Label2,9,20,520
Plate 1,Label2,9,21,540
Plate 1,Label2,9,22,650
Plate 1,Label2,9,23,530
Plate 1,Label2,9,24,345
Plate 1,Label2,10,1,400
Plate 1,Label2,10,2,570
Plate 1,Label2,10,3,490
Plate 1,Label2,10,4,405
Plate 1,Label2,10,5,600
Plate 1,Label2,10,6,510
Plate 1,Label2,10,7,790
Plate 1,Label2,10,8,570
Plate 1,Label2,10,9,635
Plate 1,Label2,10,10,740
Plate 1,Label2,10,11,580
Plate 1,Label2,10,12,565
Plate 1,Label2,10,13,390
Plate 1,Label2,10,14,510
Plate 1,Label2,10,15,570
Plate 1,Label2,10,16,620
Plate 1,Label2,10,17,410
Plate 1,Label2,10,18,700
Plate 1,Label2,10,19,565
Plate 1,Label2,10,20,500
Plate 1,Label2,10,21,635
Plate 1,Label2,10,22,515
Plate 1,Label2,10,23,1395
Plate 1,Label2,10,24,315
Plate 1,Label2,11,1,305
Plate 1,Label2,11,2,380
Plate 1,Label2,11,3,390
Plate 1,Label2,11,4,490
Plate 1,Label2,11,5,520
Plate 1,Label2,11,6,515
Plate 1,Label2,11,7,530
Plate 1,Label2,11,8,645
Plate 1,Label2,11,9,675
Plate 1,Label2,11,10,625
Plate 1,Label2,11,11,780
Plate 1,Label2,11,12,560
Plate 1,Label2,11,13,410
Plate 1,Label2,11,14,430
Plate 1,Label2,11,15,500
Plate 1,Label2,11,16,530
Plate 1,Label2,11,17,535
Plate 1,Label2,11,18,575
Plate 1,Label2,11,19,655
Plate 1,Label2,11,20,600
Plate 1,Label2,11,21,760
Plate 1,Label2,11,22,800
Plate 1,Label2,11,23,535
Plate 1,Label2,11,24,460
Plate 1,Label2,12,1,475
Plate 1,Label2,12,2,570
Plate 1,Label2,12,3,490
Plate 1,Label2,12,4,420
Plate 1,Label2,12,5,680
Plate 1,Label2,12,6,455
Plate 1,Label2,12,7,365
Plate 1,Label2,12,8,475
Plate 1,Label2,12,9,435
Plate 1,Label2,12,10,370
Plate 1,Label2,12,11,585
Plate 1,Label2,12,12,440
Plate 1,Label2,12,13,455
Plate 1,Label2,12,14,340
Plate 1,Label2,12,15,390
Plate 1,Label2,12,16,375
Plate 1,Label2,12,17,325
Plate 1,Label2,12,18,470
Plate 1,Label2,12,19,430
Plate 1,Label2,12,20,460
Plate 1,Label2,12,21,420
Plate 1,Label2,12,22,535
Plate 1,Label2,12,23,335
Plate 1,Label2,12,24,305
Plate 1,Label2,13,1,400
Plate 1,Label2,13,2,1185
Plate 1,Label2,13,3,1140
Plate 1,Label2,13,4,1235
Plate 1,Label2,13,5,1240
Plate 1,Label2,13,6,860
Plate 1,Label2,13,7,725
Plate 1,Label2,13,8,770
Plate 1,Label2,13,9,685
Plate 1,Label2,13,10,615
Plate 1,Label2,13,11,605
Plate 1,Label2,13,12,595
Plate 1,Label2,13,13,1030
Plate 1,Label2,13,14,1320
Plate 1,Label2,13,15,1030
Plate 1,Label2,13,16,970
Plate 1,Label2,13,17,830
Plate 1,Label2,13,18,725
Plate 1,Label2,13,19,435
Plate 1,Label2,13,20,655
Plate 1,Label2,13,21,700
Plate 1,Label2,13,22,455
Plate 1,Label2,13,23,425
Plate 1,Label2,13,24,375
Plate 1,Label2,14,1,350
Plate 1,Label2,14,2,1065
Plate 1,Label2,14,3,815
Plate 1,Label2,14,4,605
Plate 1,Label2,14,5,770
Plate 1,Label2,14,6,495
Plate 1,Label2,14,7,365
Plate 1,Label2,14,8,380
Plate 1,Label2,14,9,460
Plate 1,Label2,14,10,370
Plate 1,Label2,14,11,460
Plate 1,Label2,14,12,485
Plate 1,Label2,14,13,1400
Plate 1,Label2,14,14,795
Plate 1,Label2,14,15,595
Plate 1,Label2,14,16,395
Plate 1,Label2,14,17,420
Plate 1,Label2,14,18,425
Plate 1,Label2,14,19,370
Plate 1,Label2,14,20,545
Plate 1,Label2,14,21,310
Plate 1,Label2,14,22,335
Plate 1,Label2,14,23,420
Plate 1,Label2,14,24,320
Plate 1,Label2,15,1,440
Plate 1,Label2,15,2,590
Plate 1,Label2,15,3,515
Plate 1,Label2,15,4,720
Plate 1,Label2,15,5,380
Plate 1,Label2,15,6,580
Plate 1,Label2,15,7,495
Plate 1,Label2,15,8,440
Plate 1,Label2,15,9,315
Plate 1,Label2,15,10,550
Plate 1,Label2,15,11,500
Plate 1,Label2,15,12,455
Plate 1,Label2,15,13,635
Plate 1,Label2,15,14,515
Plate 1,Label2,15,15,450
Plate 1,Label2,15,16,325
Plate 1,Label2,15,17,350
Plate 1,Label2,15,18,315
Plate 1,Label2,15,19,435
Plate 1,Label2,15,20,350
Plate 1,Label2,15,21,455
Plate 1,Label2,15,22,510
Plate 1,Label2,15,23,285
Plate 1,Label2,15,24,600
Plate 1,Label2,16,1,480
Plate 1,Label2,16,2,275
Plate 1,Label2,16,3,355
Plate 1,Label2,16,4,330
Plate 1,Label2,16,5,470
Plate 1,Label2,16,6,265
Plate 1,Label2,16,7,345
Plate 1,Label2,16,8,325
Plate 1,Label2,16,9,420
Plate 1,Label2,16,10,345
Plate 1,Label2,16,11,295
Plate 1,Label2,16,12,345
Plate 1,Label2,16,13,395
Plate 1,Label2,16,14,290
Plate 1,Label2,16,15,340
Plate 1,Label2,16,16,295
Plate 1,Label2,16,17,365
Plate 1,Label2,16,18,410
Plate 1,Label2,16,19,310
Plate 1,Label2,16,20,425
Plate 1,Label2,16,21,345
Plate 1,Label2,16,22,350
Plate 1,Label2,16,23,570
Plate 1,Label2,16,24,460
