plate,channel,row,col,value,Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate 2,Label2,11,3,425,Plate2,O-22,4.75e-07,c2,C-1,C-2,K03
Plate 2,Label2,11,4,470,Plate2,O-22,7.125e-07,c2,C-1,C-2,K04
Plate 2,Label2,11,5,425,Plate2,O-22,1.425e-06,c2,C-1,C-2,K05
Plate 2,Label2,11,6,645,Plate2,O-22,2.613e-06,c2,C-1,C-2,K06
Plate 2,Label2,11,7,415,Plate2,O-22,4.513e-06,c2,C-1,C-2,K07
Plate 2,Label2,11,8,525,Plate2,O-22,8.075e-06,c2,C-1,C-2,K08
Plate 2,Label2,11,9,595,Plate2,O-22,1.473e-05,c2,C-1,C-2,K09
Plate 2,Label2,11,10,470,Plate2,O-22,2.684e-05,c2,C-1,C-2,K10
Plate 2,Label2,11,11,520,Plate2,O-22,4.869e-05,c2,C-1,C-2,K11
Plate 2,Label2,11,12,365,Plate2,C-1,NA,c2,C-1,C-2,K12
Plate 2,Label2,11,13,535,Plate2,O-22,2.375e-07,c2,C-1,C-2,K13
Plate 2,Label2,11,14,480,Plate2,O-22,4.75e-07,c2,C-1,C-2,K14
Plate 2,Label2,11,15,390,Plate2,O-22,7.125e-07,c2,C-1,C-2,K15
Plate 2,Label2,11,16,540,Plate2,O-22,1.425e-06,c2,C-1,C-2,K16
Plate 2,Label2,11,17,335,Plate2,O-22,2.613e-06,c2,C-1,C-2,K17
Plate 2,Label2,11,18,450,Plate2,O-22,4.513e-06,c2,C-1,C-2,K18
Plate 2,Label2,11,19,540,Plate2,O-22,8.075e-06,c2,C-1,C-2,K19
Plate 2,Label2,11,20,405,Plate2,O-22,1.473e-05,c2,C-1,C-2,K20
Plate 2,Label2,11,21,525,Plate2,O-22,2.684e-05,c2,C-1,C-2,K21
Plate 2,Label2,11,22,515,Plate2,O-22,4.869e-05,c2,C-1,C-2,K22
Plate 2,Label2,11,23,500,Plate2,C-1,NA,c2,C-1,C-2,K23
Plate 2,Label2,11,24,395,Plate2,C-1,NA,c2,C-1,C-2,K24
Plate 2,Label2,12,1,375,Plate2,C-1,NA,c2,C-1,C-2,L01
Plate 2,Label2,12,2,480,Plate2,O-95,2.375e-07,c2,C-1,C-2,L02
Plate 2,Label2,12,3,575,Plate2,O-95,4.75e-07,c2,C-1,C-2,L03
Plate 2,Label2,12,4,475,Plate2,O-95,7.125e-07,c2,C-1,C-2,L04
Plate 2,Label2,12,5,420,Plate2,O-95,1.425e-06,c2,C-1,C-2,L05
Plate 2,Label2,12,6,570,Plate2,O-95,2.613e-06,c2,C-1,C-2,L06
Plate 2,Label2,12,7,470,Plate2,O-95,4.513e-06,c2,C-1,C-2,L07
Plate 2,Label2,12,8,545,Plate2,O-95,8.075e-06,c2,C-1,C-2,L08
Plate 2,Label2,12,9,420,Plate2,O-95,1.473e-05,c2,C-1,C-2,L09
Plate 2,Label2,12,10,510,Plate2,O-95,2.684e-05,c2,C-1,C-2,L10
Plate 2,Label2,12,11,595,Plate2,O-95,4.869e-05,c2,C-1,C-2,L11
Plate 2,Label2,12,12,320,Plate2,C-1,NA,c2,C-1,C-2,L12
Plate 2,Label2,12,13,400,Plate2,O-95,2.375e-07,c2,C-1,C-2,L13
Plate 2,Label2,12,14,415,Plate2,O-95,4.75e-07,c2,C-1,C-2,L14
Plate 2,Label2,12,15,375,Plate2,O-95,7.125e-07,c2,C-1,C-2,L15
Plate 2,Label2,12,16,445,Plate2,O-95,1.425e-06,c2,C-1,C-2,L16
Plate 2,Label2,12,17,365,Plate2,O-95,2.613e-06,c2,C-1,C-2,L17
Plate 2,Label2,12,18,445,Plate2,O-95,4.513e-06,c2,C-1,C-2,L18
